protid,PC_Run,Entry.Name,Organism,Taxonomic.lineage,Lineage
A0A6A5ZLN1,Both,A0A6A5ZLN1_9PLEO,Lophiotrema nucula,"cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (no rank), Fungi (kingdom), Dikarya (subkingdom), Ascomycota (phylum), saccharomyceta (no rank), Pezizomycotina (subphylum), leotiomyceta (no rank), dothideomyceta (no rank), Dothideomycetes (class), Pleosporomycetidae (subclass), Pleosporales (order), Lophiotremataceae (family), Lophiotrema (genus)","['cellular organisms', 'Eukaryota', 'Opisthokonta', 'Fungi', 'Dikarya', 'Ascomycota', 'saccharomyceta', 'Pezizomycotina', 'leotiomyceta', 'dothideomyceta', 'Dothideomycetes', 'Pleosporomycetidae', 'Pleosporales', 'Lophiotremataceae', 'Lophiotrema']"
A0A6A6RFG2,Both,A0A6A6RFG2_9PLEO,Massarina eburnea CBS 473.64,"cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (no rank), Fungi (kingdom), Dikarya (subkingdom), Ascomycota (phylum), saccharomyceta (no rank), Pezizomycotina (subphylum), leotiomyceta (no rank), dothideomyceta (no rank), Dothideomycetes (class), Pleosporomycetidae (subclass), Pleosporales (order), Massarineae (suborder), Massarinaceae (family), Massarina (genus), Massarina eburnea (species)","['cellular organisms', 'Eukaryota', 'Opisthokonta', 'Fungi', 'Dikarya', 'Ascomycota', 'saccharomyceta', 'Pezizomycotina', 'leotiomyceta', 'dothideomyceta', 'Dothideomycetes', 'Pleosporomycetidae', 'Pleosporales', 'Massarineae', 'Massarinaceae', 'Massarina', 'Massarina eburnea']"
A0A7C8I9B2,Both,A0A7C8I9B2_9PLEO,Massariosphaeria phaeospora,"cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (no rank), Fungi (kingdom), Dikarya (subkingdom), Ascomycota (phylum), saccharomyceta (no rank), Pezizomycotina (subphylum), leotiomyceta (no rank), dothideomyceta (no rank), Dothideomycetes (class), Pleosporomycetidae (subclass), Pleosporales (order), Pleosporales incertae sedis (no rank), Massariosphaeria (genus)","['cellular organisms', 'Eukaryota', 'Opisthokonta', 'Fungi', 'Dikarya', 'Ascomycota', 'saccharomyceta', 'Pezizomycotina', 'leotiomyceta', 'dothideomyceta', 'Dothideomycetes', 'Pleosporomycetidae', 'Pleosporales', 'Pleosporales incertae sedis', 'Massariosphaeria']"
A0A6A6WRT6,Both,A0A6A6WRT6_9PLEO,Melanomma pulvis-pyrius CBS 109.77,"cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (no rank), Fungi (kingdom), Dikarya (subkingdom), Ascomycota (phylum), saccharomyceta (no rank), Pezizomycotina (subphylum), leotiomyceta (no rank), dothideomyceta (no rank), Dothideomycetes (class), Pleosporomycetidae (subclass), Pleosporales (order), Melanommataceae (family), Melanomma (genus), Melanomma pulvis-pyrius (species)","['cellular organisms', 'Eukaryota', 'Opisthokonta', 'Fungi', 'Dikarya', 'Ascomycota', 'saccharomyceta', 'Pezizomycotina', 'leotiomyceta', 'dothideomyceta', 'Dothideomycetes', 'Pleosporomycetidae', 'Pleosporales', 'Melanommataceae', 'Melanomma', 'Melanomma pulvis-pyrius']"
G7E6C4,Both,G7E6C4_MIXOS,Mixia osmundae (strain CBS 9802 / IAM 14324 / JCM 22182 / KY 12970),"cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (no rank), Fungi (kingdom), Dikarya (subkingdom), Basidiomycota (phylum), Pucciniomycotina (subphylum), Mixiomycetes (class), Mixiales (order), Mixiaceae (family), Mixia (genus), Mixia osmundae (species)","['cellular organisms', 'Eukaryota', 'Opisthokonta', 'Fungi', 'Dikarya', 'Basidiomycota', 'Pucciniomycotina', 'Mixiomycetes', 'Mixiales', 'Mixiaceae', 'Mixia', 'Mixia osmundae']"
A0A5M9K6H3,Both,A0A5M9K6H3_MONFR,Monilinia fructicola (Brown rot fungus) (Ciboria fructicola),"cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (no rank), Fungi (kingdom), Dikarya (subkingdom), Ascomycota (phylum), saccharomyceta (no rank), Pezizomycotina (subphylum), leotiomyceta (no rank), sordariomyceta (no rank), Leotiomycetes (class), Helotiales (order), Sclerotiniaceae (family), Monilinia (genus)","['cellular organisms', 'Eukaryota', 'Opisthokonta', 'Fungi', 'Dikarya', 'Ascomycota', 'saccharomyceta', 'Pezizomycotina', 'leotiomyceta', 'sordariomyceta', 'Leotiomycetes', 'Helotiales', 'Sclerotiniaceae', 'Monilinia']"
A0A0C3DX11,Both,A0A0C3DX11_9PEZI,Oidiodendron maius Zn,"cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (no rank), Fungi (kingdom), Dikarya (subkingdom), Ascomycota (phylum), saccharomyceta (no rank), Pezizomycotina (subphylum), leotiomyceta (no rank), sordariomyceta (no rank), Leotiomycetes (class), Leotiomycetes incertae sedis (no rank), Myxotrichaceae (family), Oidiodendron (genus), Oidiodendron maius (species)","['cellular organisms', 'Eukaryota', 'Opisthokonta', 'Fungi', 'Dikarya', 'Ascomycota', 'saccharomyceta', 'Pezizomycotina', 'leotiomyceta', 'sordariomyceta', 'Leotiomycetes', 'Leotiomycetes incertae sedis', 'Myxotrichaceae', 'Oidiodendron', 'Oidiodendron maius']"
A0A6A7AHS8,Both,A0A6A7AHS8_9PLEO,Ophiobolus disseminans,"cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (no rank), Fungi (kingdom), Dikarya (subkingdom), Ascomycota (phylum), saccharomyceta (no rank), Pezizomycotina (subphylum), leotiomyceta (no rank), dothideomyceta (no rank), Dothideomycetes (class), Pleosporomycetidae (subclass), Pleosporales (order), Pleosporineae (suborder), Phaeosphaeriaceae (family), Ophiobolus (genus)","['cellular organisms', 'Eukaryota', 'Opisthokonta', 'Fungi', 'Dikarya', 'Ascomycota', 'saccharomyceta', 'Pezizomycotina', 'leotiomyceta', 'dothideomyceta', 'Dothideomycetes', 'Pleosporomycetidae', 'Pleosporales', 'Pleosporineae', 'Phaeosphaeriaceae', 'Ophiobolus']"
A0A2V1DVQ4,Both,A0A2V1DVQ4_9PLEO,Periconia macrospinosa,"cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (no rank), Fungi (kingdom), Dikarya (subkingdom), Ascomycota (phylum), saccharomyceta (no rank), Pezizomycotina (subphylum), leotiomyceta (no rank), dothideomyceta (no rank), Dothideomycetes (class), Pleosporomycetidae (subclass), Pleosporales (order), Massarineae (suborder), Periconiaceae (family), Periconia (genus)","['cellular organisms', 'Eukaryota', 'Opisthokonta', 'Fungi', 'Dikarya', 'Ascomycota', 'saccharomyceta', 'Pezizomycotina', 'leotiomyceta', 'dothideomyceta', 'Dothideomycetes', 'Pleosporomycetidae', 'Pleosporales', 'Massarineae', 'Periconiaceae', 'Periconia']"
A0A6A7AT15,Both,A0A6A7AT15_9PLEO,Plenodomus tracheiphilus IPT5,"cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (no rank), Fungi (kingdom), Dikarya (subkingdom), Ascomycota (phylum), saccharomyceta (no rank), Pezizomycotina (subphylum), leotiomyceta (no rank), dothideomyceta (no rank), Dothideomycetes (class), Pleosporomycetidae (subclass), Pleosporales (order), Pleosporineae (suborder), Leptosphaeriaceae (family), Plenodomus (genus), Plenodomus tracheiphilus (species)","['cellular organisms', 'Eukaryota', 'Opisthokonta', 'Fungi', 'Dikarya', 'Ascomycota', 'saccharomyceta', 'Pezizomycotina', 'leotiomyceta', 'dothideomyceta', 'Dothideomycetes', 'Pleosporomycetidae', 'Pleosporales', 'Pleosporineae', 'Leptosphaeriaceae', 'Plenodomus', 'Plenodomus tracheiphilus']"
A0A6G1K526,Both,A0A6G1K526_9PLEO,Pleomassaria siparia CBS 279.74,"cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (no rank), Fungi (kingdom), Dikarya (subkingdom), Ascomycota (phylum), saccharomyceta (no rank), Pezizomycotina (subphylum), leotiomyceta (no rank), dothideomyceta (no rank), Dothideomycetes (class), Pleosporomycetidae (subclass), Pleosporales (order), Pleomassariaceae (family), Pleomassaria (genus), Pleomassaria siparia (species)","['cellular organisms', 'Eukaryota', 'Opisthokonta', 'Fungi', 'Dikarya', 'Ascomycota', 'saccharomyceta', 'Pezizomycotina', 'leotiomyceta', 'dothideomyceta', 'Dothideomycetes', 'Pleosporomycetidae', 'Pleosporales', 'Pleomassariaceae', 'Pleomassaria', 'Pleomassaria siparia']"
A0A139GWE8,Both,A0A139GWE8_9PEZI,Pseudocercospora eumusae,"cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (no rank), Fungi (kingdom), Dikarya (subkingdom), Ascomycota (phylum), saccharomyceta (no rank), Pezizomycotina (subphylum), leotiomyceta (no rank), dothideomyceta (no rank), Dothideomycetes (class), Dothideomycetidae (subclass), Mycosphaerellales (order), Mycosphaerellaceae (family), Pseudocercospora (genus)","['cellular organisms', 'Eukaryota', 'Opisthokonta', 'Fungi', 'Dikarya', 'Ascomycota', 'saccharomyceta', 'Pezizomycotina', 'leotiomyceta', 'dothideomyceta', 'Dothideomycetes', 'Dothideomycetidae', 'Mycosphaerellales', 'Mycosphaerellaceae', 'Pseudocercospora']"
A0A178DPJ7,Both,A0A178DPJ7_9PLEO,Pyrenochaeta sp. DS3sAY3a,"cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (no rank), Fungi (kingdom), Dikarya (subkingdom), Ascomycota (phylum), saccharomyceta (no rank), Pezizomycotina (subphylum), leotiomyceta (no rank), dothideomyceta (no rank), Dothideomycetes (class), Pleosporomycetidae (subclass), Pleosporales (order), Pleosporineae (suborder), Cucurbitariaceae (family), Pyrenochaeta (genus), unclassified Pyrenochaeta (no rank)","['cellular organisms', 'Eukaryota', 'Opisthokonta', 'Fungi', 'Dikarya', 'Ascomycota', 'saccharomyceta', 'Pezizomycotina', 'leotiomyceta', 'dothideomyceta', 'Dothideomycetes', 'Pleosporomycetidae', 'Pleosporales', 'Pleosporineae', 'Cucurbitariaceae', 'Pyrenochaeta', 'unclassified Pyrenochaeta']"
A0A2S7NZT6,Both,A0A2S7NZT6_9HELO,Rutstroemia sp. NJR-2017a BBW,"cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (no rank), Fungi (kingdom), Dikarya (subkingdom), Ascomycota (phylum), saccharomyceta (no rank), Pezizomycotina (subphylum), leotiomyceta (no rank), sordariomyceta (no rank), Leotiomycetes (class), Helotiales (order), Rutstroemiaceae (family), Rutstroemia (genus), unclassified Rutstroemia (no rank)","['cellular organisms', 'Eukaryota', 'Opisthokonta', 'Fungi', 'Dikarya', 'Ascomycota', 'saccharomyceta', 'Pezizomycotina', 'leotiomyceta', 'sordariomyceta', 'Leotiomycetes', 'Helotiales', 'Rutstroemiaceae', 'Rutstroemia', 'unclassified Rutstroemia']"
A0A5J5EXT0,Both,A0A5J5EXT0_9PEZI,Sphaerosporella brunnea,"cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (no rank), Fungi (kingdom), Dikarya (subkingdom), Ascomycota (phylum), saccharomyceta (no rank), Pezizomycotina (subphylum), Pezizomycetes (class), Pezizales (order), Pyronemataceae (family), Sphaerosporella (genus)","['cellular organisms', 'Eukaryota', 'Opisthokonta', 'Fungi', 'Dikarya', 'Ascomycota', 'saccharomyceta', 'Pezizomycotina', 'Pezizomycetes', 'Pezizales', 'Pyronemataceae', 'Sphaerosporella']"
A0A6A6VDX3,Both,A0A6A6VDX3_9PLEO,Sporormia fimetaria CBS 119925,"cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (no rank), Fungi (kingdom), Dikarya (subkingdom), Ascomycota (phylum), saccharomyceta (no rank), Pezizomycotina (subphylum), leotiomyceta (no rank), dothideomyceta (no rank), Dothideomycetes (class), Pleosporomycetidae (subclass), Pleosporales (order), Sporormiaceae (family), Sporormia (genus), Sporormia fimetaria (species)","['cellular organisms', 'Eukaryota', 'Opisthokonta', 'Fungi', 'Dikarya', 'Ascomycota', 'saccharomyceta', 'Pezizomycotina', 'leotiomyceta', 'dothideomyceta', 'Dothideomycetes', 'Pleosporomycetidae', 'Pleosporales', 'Sporormiaceae', 'Sporormia', 'Sporormia fimetaria']"
A0A6A6D9G8,Both,A0A6A6D9G8_9PEZI,Zopfia rhizophila CBS 207.26,"cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (no rank), Fungi (kingdom), Dikarya (subkingdom), Ascomycota (phylum), saccharomyceta (no rank), Pezizomycotina (subphylum), leotiomyceta (no rank), dothideomyceta (no rank), Dothideomycetes (class), Dothideomycetes incertae sedis (no rank), Zopfiaceae (family), Zopfia (genus), Zopfia rhizophila (species)","['cellular organisms', 'Eukaryota', 'Opisthokonta', 'Fungi', 'Dikarya', 'Ascomycota', 'saccharomyceta', 'Pezizomycotina', 'leotiomyceta', 'dothideomyceta', 'Dothideomycetes', 'Dothideomycetes incertae sedis', 'Zopfiaceae', 'Zopfia', 'Zopfia rhizophila']"
A0A4S2MNW7,Both,A0A4S2MNW7_9PEZI,Ascodesmis nigricans,"cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (no rank), Fungi (kingdom), Dikarya (subkingdom), Ascomycota (phylum), saccharomyceta (no rank), Pezizomycotina (subphylum), Pezizomycetes (class), Pezizales (order), Ascodesmidaceae (family), Ascodesmis (genus)","['cellular organisms', 'Eukaryota', 'Opisthokonta', 'Fungi', 'Dikarya', 'Ascomycota', 'saccharomyceta', 'Pezizomycotina', 'Pezizomycetes', 'Pezizales', 'Ascodesmidaceae', 'Ascodesmis']"
A0A6G1H318,Both,A0A6G1H318_9PEZI,Aulographum hederae CBS 113979,"cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (no rank), Fungi (kingdom), Dikarya (subkingdom), Ascomycota (phylum), saccharomyceta (no rank), Pezizomycotina (subphylum), leotiomyceta (no rank), dothideomyceta (no rank), Dothideomycetes (class), Pleosporomycetidae (subclass), Aulographales (order), Aulographaceae (family), Aulographum (genus), Aulographum hederae (species)","['cellular organisms', 'Eukaryota', 'Opisthokonta', 'Fungi', 'Dikarya', 'Ascomycota', 'saccharomyceta', 'Pezizomycotina', 'leotiomyceta', 'dothideomyceta', 'Dothideomycetes', 'Pleosporomycetidae', 'Aulographales', 'Aulographaceae', 'Aulographum', 'Aulographum hederae']"
A0A4S9KR45,Both,A0A4S9KR45_AURPU,Aureobasidium pullulans (Black yeast) (Pullularia pullulans),"cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (no rank), Fungi (kingdom), Dikarya (subkingdom), Ascomycota (phylum), saccharomyceta (no rank), Pezizomycotina (subphylum), leotiomyceta (no rank), dothideomyceta (no rank), Dothideomycetes (class), Dothideomycetidae (subclass), Dothideales (order), Saccotheciaceae (family), Aureobasidium (genus)","['cellular organisms', 'Eukaryota', 'Opisthokonta', 'Fungi', 'Dikarya', 'Ascomycota', 'saccharomyceta', 'Pezizomycotina', 'leotiomyceta', 'dothideomyceta', 'Dothideomycetes', 'Dothideomycetidae', 'Dothideales', 'Saccotheciaceae', 'Aureobasidium']"
A0A4V4K154,Both,A0A4V4K154_AURPU,Aureobasidium pullulans (Black yeast) (Pullularia pullulans),"cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (no rank), Fungi (kingdom), Dikarya (subkingdom), Ascomycota (phylum), saccharomyceta (no rank), Pezizomycotina (subphylum), leotiomyceta (no rank), dothideomyceta (no rank), Dothideomycetes (class), Dothideomycetidae (subclass), Dothideales (order), Saccotheciaceae (family), Aureobasidium (genus)","['cellular organisms', 'Eukaryota', 'Opisthokonta', 'Fungi', 'Dikarya', 'Ascomycota', 'saccharomyceta', 'Pezizomycotina', 'leotiomyceta', 'dothideomyceta', 'Dothideomycetes', 'Dothideomycetidae', 'Dothideales', 'Saccotheciaceae', 'Aureobasidium']"
A0A2S6CNC9,Both,A0A2S6CNC9_9PEZI,Cercospora berteroae,"cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (no rank), Fungi (kingdom), Dikarya (subkingdom), Ascomycota (phylum), saccharomyceta (no rank), Pezizomycotina (subphylum), leotiomyceta (no rank), dothideomyceta (no rank), Dothideomycetes (class), Dothideomycetidae (subclass), Mycosphaerellales (order), Mycosphaerellaceae (family), Cercospora (genus)","['cellular organisms', 'Eukaryota', 'Opisthokonta', 'Fungi', 'Dikarya', 'Ascomycota', 'saccharomyceta', 'Pezizomycotina', 'leotiomyceta', 'dothideomyceta', 'Dothideomycetes', 'Dothideomycetidae', 'Mycosphaerellales', 'Mycosphaerellaceae', 'Cercospora']"
A0A6A6FEF0,Both,A0A6A6FEF0_9PEZI,Cercospora zeae-maydis SCOH1-5,"cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (no rank), Fungi (kingdom), Dikarya (subkingdom), Ascomycota (phylum), saccharomyceta (no rank), Pezizomycotina (subphylum), leotiomyceta (no rank), dothideomyceta (no rank), Dothideomycetes (class), Dothideomycetidae (subclass), Mycosphaerellales (order), Mycosphaerellaceae (family), Cercospora (genus), Cercospora zeae-maydis (species)","['cellular organisms', 'Eukaryota', 'Opisthokonta', 'Fungi', 'Dikarya', 'Ascomycota', 'saccharomyceta', 'Pezizomycotina', 'leotiomyceta', 'dothideomyceta', 'Dothideomycetes', 'Dothideomycetidae', 'Mycosphaerellales', 'Mycosphaerellaceae', 'Cercospora', 'Cercospora zeae-maydis']"
A0A4V6WKR8,Both,A0A4V6WKR8_9PEZI,Cryomyces minteri,"cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (no rank), Fungi (kingdom), Dikarya (subkingdom), Ascomycota (phylum), saccharomyceta (no rank), Pezizomycotina (subphylum), leotiomyceta (no rank), dothideomyceta (no rank), Dothideomycetes (class), Dothideomycetes incertae sedis (no rank), Cryomyces (genus)","['cellular organisms', 'Eukaryota', 'Opisthokonta', 'Fungi', 'Dikarya', 'Ascomycota', 'saccharomyceta', 'Pezizomycotina', 'leotiomyceta', 'dothideomyceta', 'Dothideomycetes', 'Dothideomycetes incertae sedis', 'Cryomyces']"
A0A1E3JA65,Both,A0A1E3JA65_9TREE,Cryptococcus depauperatus CBS 7855,"cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (no rank), Fungi (kingdom), Dikarya (subkingdom), Basidiomycota (phylum), Agaricomycotina (subphylum), Tremellomycetes (class), Tremellales (order), Cryptococcaceae (family), Cryptococcus (genus), Cryptococcus depauperatus (species)","['cellular organisms', 'Eukaryota', 'Opisthokonta', 'Fungi', 'Dikarya', 'Basidiomycota', 'Agaricomycotina', 'Tremellomycetes', 'Tremellales', 'Cryptococcaceae', 'Cryptococcus', 'Cryptococcus depauperatus']"
A0A0G2E6L7,Both,A0A0G2E6L7_9PEZI,Diplodia seriata,"cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (no rank), Fungi (kingdom), Dikarya (subkingdom), Ascomycota (phylum), saccharomyceta (no rank), Pezizomycotina (subphylum), leotiomyceta (no rank), dothideomyceta (no rank), Dothideomycetes (class), Dothideomycetes incertae sedis (no rank), Botryosphaeriales (order), Botryosphaeriaceae (family), Diplodia (genus)","['cellular organisms', 'Eukaryota', 'Opisthokonta', 'Fungi', 'Dikarya', 'Ascomycota', 'saccharomyceta', 'Pezizomycotina', 'leotiomyceta', 'dothideomyceta', 'Dothideomycetes', 'Dothideomycetes incertae sedis', 'Botryosphaeriales', 'Botryosphaeriaceae', 'Diplodia']"
N1PSM0,Both,N1PSM0_DOTSN,Dothistroma septosporum (strain NZE10 / CBS 128990) (Red band needle blight fungus) (Mycosphaerella pini),"cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (no rank), Fungi (kingdom), Dikarya (subkingdom), Ascomycota (phylum), saccharomyceta (no rank), Pezizomycotina (subphylum), leotiomyceta (no rank), dothideomyceta (no rank), Dothideomycetes (class), Dothideomycetidae (subclass), Mycosphaerellales (order), Mycosphaerellaceae (family), Dothistroma (genus), Dothistroma septosporum (species)","['cellular organisms', 'Eukaryota', 'Opisthokonta', 'Fungi', 'Dikarya', 'Ascomycota', 'saccharomyceta', 'Pezizomycotina', 'leotiomyceta', 'dothideomyceta', 'Dothideomycetes', 'Dothideomycetidae', 'Mycosphaerellales', 'Mycosphaerellaceae', 'Dothistroma', 'Dothistroma septosporum']"
A0A6A6GE92,Both,A0A6A6GE92_9PEZI,Elsinoe ampelina,"cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (no rank), Fungi (kingdom), Dikarya (subkingdom), Ascomycota (phylum), saccharomyceta (no rank), Pezizomycotina (subphylum), leotiomyceta (no rank), dothideomyceta (no rank), Dothideomycetes (class), Dothideomycetidae (subclass), Myriangiales (order), Elsinoaceae (family), Elsinoe (genus)","['cellular organisms', 'Eukaryota', 'Opisthokonta', 'Fungi', 'Dikarya', 'Ascomycota', 'saccharomyceta', 'Pezizomycotina', 'leotiomyceta', 'dothideomyceta', 'Dothideomycetes', 'Dothideomycetidae', 'Myriangiales', 'Elsinoaceae', 'Elsinoe']"
A0A2P8ADX3,Both,A0A2P8ADX3_9PEZI,Elsinoe australis,"cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (no rank), Fungi (kingdom), Dikarya (subkingdom), Ascomycota (phylum), saccharomyceta (no rank), Pezizomycotina (subphylum), leotiomyceta (no rank), dothideomyceta (no rank), Dothideomycetes (class), Dothideomycetidae (subclass), Myriangiales (order), Elsinoaceae (family), Elsinoe (genus)","['cellular organisms', 'Eukaryota', 'Opisthokonta', 'Fungi', 'Dikarya', 'Ascomycota', 'saccharomyceta', 'Pezizomycotina', 'leotiomyceta', 'dothideomyceta', 'Dothideomycetes', 'Dothideomycetidae', 'Myriangiales', 'Elsinoaceae', 'Elsinoe']"
A0A4U7ARN0,Both,A0A4U7ARN0_9PEZI,Elsinoe australis,"cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (no rank), Fungi (kingdom), Dikarya (subkingdom), Ascomycota (phylum), saccharomyceta (no rank), Pezizomycotina (subphylum), leotiomyceta (no rank), dothideomyceta (no rank), Dothideomycetes (class), Dothideomycetidae (subclass), Myriangiales (order), Elsinoaceae (family), Elsinoe (genus)","['cellular organisms', 'Eukaryota', 'Opisthokonta', 'Fungi', 'Dikarya', 'Ascomycota', 'saccharomyceta', 'Pezizomycotina', 'leotiomyceta', 'dothideomyceta', 'Dothideomycetes', 'Dothideomycetidae', 'Myriangiales', 'Elsinoaceae', 'Elsinoe']"
Q9Y772,Both,Q9Y772_EMEND,Emericella nidulans (Aspergillus nidulans),"cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (no rank), Fungi (kingdom), Dikarya (subkingdom), Ascomycota (phylum), saccharomyceta (no rank), Pezizomycotina (subphylum), leotiomyceta (no rank), Eurotiomycetes (class), Eurotiomycetidae (subclass), Eurotiales (order), Aspergillaceae (family), Aspergillus (genus), Aspergillus subgen. Nidulantes (subgenus)","['cellular organisms', 'Eukaryota', 'Opisthokonta', 'Fungi', 'Dikarya', 'Ascomycota', 'saccharomyceta', 'Pezizomycotina', 'leotiomyceta', 'Eurotiomycetes', 'Eurotiomycetidae', 'Eurotiales', 'Aspergillaceae', 'Aspergillus', 'Aspergillus subgen. Nidulantes']"
A0A6A6P4E1,Both,A0A6A6P4E1_9PEZI,Lineolata rhizophorae,"cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (no rank), Fungi (kingdom), Dikarya (subkingdom), Ascomycota (phylum), saccharomyceta (no rank), Pezizomycotina (subphylum), leotiomyceta (no rank), dothideomyceta (no rank), Dothideomycetes (class), Dothideomycetes incertae sedis (no rank), Lineolatales (order), Lineolataceae (family), Lineolata (genus)","['cellular organisms', 'Eukaryota', 'Opisthokonta', 'Fungi', 'Dikarya', 'Ascomycota', 'saccharomyceta', 'Pezizomycotina', 'leotiomyceta', 'dothideomyceta', 'Dothideomycetes', 'Dothideomycetes incertae sedis', 'Lineolatales', 'Lineolataceae', 'Lineolata']"
A0A1L7X3I6,Both,A0A1L7X3I6_9HELO,Phialocephala subalpina,"cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (no rank), Fungi (kingdom), Dikarya (subkingdom), Ascomycota (phylum), saccharomyceta (no rank), Pezizomycotina (subphylum), leotiomyceta (no rank), sordariomyceta (no rank), Leotiomycetes (class), Helotiales (order), Mollisiaceae (family), Phialocephala (genus), Phialocephala fortinii species complex (no rank)","['cellular organisms', 'Eukaryota', 'Opisthokonta', 'Fungi', 'Dikarya', 'Ascomycota', 'saccharomyceta', 'Pezizomycotina', 'leotiomyceta', 'sordariomyceta', 'Leotiomycetes', 'Helotiales', 'Mollisiaceae', 'Phialocephala', 'Phialocephala fortinii species complex']"
A0A6A7BQA8,Both,A0A6A7BQA8_9PEZI,Piedraia hortae CBS 480.64,"cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (no rank), Fungi (kingdom), Dikarya (subkingdom), Ascomycota (phylum), saccharomyceta (no rank), Pezizomycotina (subphylum), leotiomyceta (no rank), dothideomyceta (no rank), Dothideomycetes (class), Dothideomycetidae (subclass), Capnodiales (order), Piedraiaceae (family), Piedraia (genus), Piedraia hortae (species)","['cellular organisms', 'Eukaryota', 'Opisthokonta', 'Fungi', 'Dikarya', 'Ascomycota', 'saccharomyceta', 'Pezizomycotina', 'leotiomyceta', 'dothideomyceta', 'Dothideomycetes', 'Dothideomycetidae', 'Capnodiales', 'Piedraiaceae', 'Piedraia', 'Piedraia hortae']"
A0A1B8FV74,Both,A0A1B8FV74_9PEZI,Pseudogymnoascus sp. 03VT05,"cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (no rank), Fungi (kingdom), Dikarya (subkingdom), Ascomycota (phylum), saccharomyceta (no rank), Pezizomycotina (subphylum), leotiomyceta (no rank), sordariomyceta (no rank), Leotiomycetes (class), Leotiomycetes incertae sedis (no rank), Pseudeurotiaceae (family), Pseudogymnoascus (genus), unclassified Pseudogymnoascus (no rank)","['cellular organisms', 'Eukaryota', 'Opisthokonta', 'Fungi', 'Dikarya', 'Ascomycota', 'saccharomyceta', 'Pezizomycotina', 'leotiomyceta', 'sordariomyceta', 'Leotiomycetes', 'Leotiomycetes incertae sedis', 'Pseudeurotiaceae', 'Pseudogymnoascus', 'unclassified Pseudogymnoascus']"
A0A1B8FBD9,Both,A0A1B8FBD9_9PEZI,Pseudogymnoascus sp. 05NY08,"cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (no rank), Fungi (kingdom), Dikarya (subkingdom), Ascomycota (phylum), saccharomyceta (no rank), Pezizomycotina (subphylum), leotiomyceta (no rank), sordariomyceta (no rank), Leotiomycetes (class), Leotiomycetes incertae sedis (no rank), Pseudeurotiaceae (family), Pseudogymnoascus (genus), unclassified Pseudogymnoascus (no rank)","['cellular organisms', 'Eukaryota', 'Opisthokonta', 'Fungi', 'Dikarya', 'Ascomycota', 'saccharomyceta', 'Pezizomycotina', 'leotiomyceta', 'sordariomyceta', 'Leotiomycetes', 'Leotiomycetes incertae sedis', 'Pseudeurotiaceae', 'Pseudogymnoascus', 'unclassified Pseudogymnoascus']"
