,Organism_uniprot,n_prot,species_name,kingdom,phylum,class,order,family,genus,DFA
155,Botryotinia fuckeliana (strain B05.10) (Noble rot fungus) (Botrytis cinerea),12706,Botryotinia fuckeliana ,Fungi,Ascomycota,Leotiomycetes,Helotiales,Sclerotiniaceae,Botrytis,Yes
156,Botryotinia fuckeliana (strain BcDW1) (Noble rot fungus) (Botrytis cinerea),10597,Botryotinia fuckeliana ,Fungi,Ascomycota,Leotiomycetes,Helotiales,Sclerotiniaceae,Botrytis,Yes
157,Botryotinia fuckeliana (strain T4) (Noble rot fungus) (Botrytis cinerea),15999,Botryotinia fuckeliana ,Fungi,Ascomycota,Leotiomycetes,Helotiales,Sclerotiniaceae,Botrytis,No
158,Botryotinia narcissicola,11902,Botryotinia narcissicola,Fungi,Ascomycota,Leotiomycetes,Helotiales,Sclerotiniaceae,Botryotinia,Yes
159,Botrytis elliptica,12153,Botrytis elliptica,Fungi,Ascomycota,Leotiomycetes,Helotiales,Sclerotiniaceae,Botrytis,No
160,Botrytis galanthina,11975,Botrytis galanthina,Fungi,Ascomycota,Leotiomycetes,Helotiales,Sclerotiniaceae,Botrytis,No
161,Botrytis hyacinthi,11738,Botrytis hyacinthi,Fungi,Ascomycota,Leotiomycetes,Helotiales,Sclerotiniaceae,Botrytis,No
162,Botrytis paeoniae,11666,Botrytis paeoniae,Fungi,Ascomycota,Leotiomycetes,Helotiales,Sclerotiniaceae,Botrytis,No
163,Botrytis porri,11540,Botrytis porri,Fungi,Ascomycota,Leotiomycetes,Helotiales,Sclerotiniaceae,Botrytis,Yes
164,Botrytis tulipae,12171,Botrytis tulipae,Fungi,Ascomycota,Leotiomycetes,Helotiales,Sclerotiniaceae,Botrytis,No
165,Byssochlamys spectabilis (Paecilomyces variotii),9023,Byssochlamys spectabilis ,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Thermoascaceae,Paecilomyces,No
166,Byssochlamys spectabilis (strain No. 5 / NBRC 109023) (Paecilomyces variotii),8460,Byssochlamys spectabilis ,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Thermoascaceae,Paecilomyces,Yes
167,Byssothecium circinans,15212,Byssothecium circinans,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Massarinaceae,Byssothecium,Yes
168,Cadophora sp. DSE1049,22305,Cadophora sp. DSE1049,Fungi,Ascomycota,Leotiomycetes,Helotiales,NA,Cadophora,Yes
169,Calocera cornea HHB12733,12812,Calocera cornea HHB12733,Fungi,Basidiomycota,Dacrymycetes,Dacrymycetales,Dacrymycetaceae,Calocera,Yes
170,Calocera viscosa (strain TUFC12733),12067,Calocera viscosa ,Fungi,Basidiomycota,Dacrymycetes,Dacrymycetales,Dacrymycetaceae,Calocera,Yes
171,Candida auris (Yeast),11215,Candida auris ,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Metschnikowiaceae,Candida/Metschnikowiaceae,No
172,Candida tropicalis (strain ATCC MYA-3404 / T1) (Yeast),6029,Candida tropicalis ,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Candida,No
173,Candida viswanathii,10226,Candida viswanathii,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Candida,Yes
174,Candolleomyces aberdarensis,12980,Candolleomyces aberdarensis,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Psathyrellaceae,Candolleomyces,No
175,Capronia coronata CBS 617.96,8920,Capronia coronata CBS 617.96,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,Capronia,Yes
176,Capronia epimyces CBS 606.96,10152,Capronia epimyces CBS 606.96,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,Capronia,Yes
177,Catenaria anguillulae PL171,12314,Catenaria anguillulae PL171,Fungi,Blastocladiomycota,Blastocladiomycetes,Blastocladiales,Catenariaceae,Catenaria,Yes
178,Caulochytrium protostelioides,8090,Caulochytrium protostelioides,Fungi,Chytridiomycota,Chytridiomycetes,Caulochytriales,Caulochytriaceae,Caulochytrium,Yes
179,Ceraceosorus bombacis,7457,Ceraceosorus bombacis,Fungi,Basidiomycota,Exobasidiomycetes,Ceraceosorales,Ceraceosoraceae,Ceraceosorus,Yes
180,Ceraceosorus guamensis,7354,Ceraceosorus guamensis,Fungi,Basidiomycota,Exobasidiomycetes,Ceraceosorales,Ceraceosoraceae,Ceraceosorus,No
181,Ceratobasidium theobromae,8457,Ceratobasidium theobromae,Fungi,Basidiomycota,Agaricomycetes,Cantharellales,Ceratobasidiaceae,Ceratobasidium,Yes
182,Ceratocystis fimbriata CBS 114723,6896,Ceratocystis fimbriata CBS 114723,Fungi,Ascomycota,Sordariomycetes,Microascales,Ceratocystidaceae,Ceratocystis,No
183,Cercospora berteroae,11509,Cercospora berteroae,Fungi,Ascomycota,Dothideomycetes,Mycosphaerellales,Mycosphaerellaceae,Cercospora,Yes
184,Cercospora beticola (Sugarbeet leaf spot fungus),12279,Cercospora beticola ,Fungi,Ascomycota,Dothideomycetes,Mycosphaerellales,Mycosphaerellaceae,Cercospora,No
185,Cercospora zeae-maydis SCOH1-5,11728,Cercospora zeae-maydis SCOH1-5,Fungi,Ascomycota,Dothideomycetes,Mycosphaerellales,Mycosphaerellaceae,Cercospora,Yes
186,Ceriporiopsis subvermispora (strain B) (White-rot fungus) (Gelatoporia subvermispora),11765,Ceriporiopsis subvermispora ,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Gelatoporiaceae,Gelatoporia,Yes
187,Chaetomium globosum (strain ATCC 6205 / CBS 148.51 / DSM 1962 / NBRC 6347 / NRRL 1970) (Soil fungus),10573,Chaetomium globosum ,Fungi,Ascomycota,Sordariomycetes,Sordariales,Chaetomiaceae,Chaetomium,No
188,Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) (Thermochaetoides thermophila),6830,Chaetomium thermophilum ,Fungi,Ascomycota,Sordariomycetes,Sordariales,Chaetomiaceae,Thermochaetoides,No
189,Chaetothyriales sp. CBS 134916,6279,Chaetothyriales sp. CBS 134916,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,NA,NA,No
190,Choanephora cucurbitarum,11045,Choanephora cucurbitarum,Fungi,Mucoromycota,Mucoromycetes,Mucorales,Choanephoraceae,Choanephora,Yes
191,Choiromyces venosus 120613-1,17447,Choiromyces venosus 120613-1,Fungi,Ascomycota,Pezizomycetes,Pezizales,Tuberaceae,Choiromyces,Yes
192,Chytriomyces confervae,10026,Chytriomyces confervae,Fungi,Chytridiomycota,Chytridiomycetes,Chytridiales,Chytriomycetaceae,Chytriomyces,Yes
193,Cladophialophora bantiana CBS 173.52,12411,Cladophialophora bantiana CBS 173.52,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,Cladophialophora,No
194,Cladophialophora carrionii,11218,Cladophialophora carrionii,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,Cladophialophora,Yes
195,Cladophialophora carrionii CBS 160.54,10066,Cladophialophora carrionii CBS 160.54,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,Cladophialophora,No
196,Cladophialophora immunda,13194,Cladophialophora immunda,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,Cladophialophora,No
197,Cladophialophora psammophila CBS 110553,13082,Cladophialophora psammophila CBS 110553,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,Cladophialophora,Yes
198,Cladophialophora yegresii CBS 114405,9829,Cladophialophora yegresii CBS 114405,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,Cladophialophora,Yes
199,Clathrospora elynae,13208,Clathrospora elynae,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Diademaceae,Clathrospora,Yes
200,Claviceps purpurea (strain 20.1) (Ergot fungus) (Sphacelia segetum),8502,Claviceps purpurea ,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Clavicipitaceae,Claviceps,No
201,Clohesyomyces aquaticus,15404,Clohesyomyces aquaticus,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Lindgomycetaceae,Clohesyomyces,Yes
202,Coccidioides immitis (strain RS) (Valley fever fungus),9434,Coccidioides immitis ,Fungi,Ascomycota,Eurotiomycetes,Onygenales,Onygenaceae,Coccidioides,Yes
203,Coccidioides immitis H538.4,10429,Coccidioides immitis H538.4,Fungi,Ascomycota,Eurotiomycetes,Onygenales,Onygenaceae,Coccidioides,Yes
204,Coccidioides immitis RMSCC 2394,10144,Coccidioides immitis RMSCC 2394,Fungi,Ascomycota,Eurotiomycetes,Onygenales,Onygenaceae,Coccidioides,No
205,Coccidioides immitis RMSCC 3703,10323,Coccidioides immitis RMSCC 3703,Fungi,Ascomycota,Eurotiomycetes,Onygenales,Onygenaceae,Coccidioides,Yes
206,Coccidioides posadasii (strain C735) (Valley fever fungus),6933,Coccidioides posadasii ,Fungi,Ascomycota,Eurotiomycetes,Onygenales,Onygenaceae,Coccidioides,No
207,Coccidioides posadasii RMSCC 3488,9690,Coccidioides posadasii RMSCC 3488,Fungi,Ascomycota,Eurotiomycetes,Onygenales,Onygenaceae,Coccidioides,No
208,Cochliobolus carbonum (strain 26-R-13) (Maize leaf spot fungus) (Bipolaris zeicola),12477,Cochliobolus carbonum ,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Bipolaris,No
209,Cochliobolus heterostrophus (strain C4 / ATCC 48331 / race T) (Southern corn leaf blight fungus) (Bipolaris maydis),12341,Cochliobolus heterostrophus ,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Bipolaris,Yes
210,Cochliobolus heterostrophus (strain C5 / ATCC 48332 / race O) (Southern corn leaf blight fungus) (Bipolaris maydis),12526,Cochliobolus heterostrophus ,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Bipolaris,No
211,Cochliobolus sativus (strain ND90Pr / ATCC 201652) (Common root rot and spot blotch fungus) (Bipolaris sorokiniana),11821,Cochliobolus sativus ,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Bipolaris,Yes
212,Coemansia reversa (strain ATCC 12441 / NRRL 1564),7150,Coemansia reversa ,Fungi,Zoopagomycota,Kickxellomycetes,Kickxellales,Kickxellaceae,Coemansia,Yes
213,Coleophoma crateriformis,12807,Coleophoma crateriformis,Fungi,Ascomycota,Leotiomycetes,Helotiales,Dermateaceae,Coleophoma,No
214,Coleophoma cylindrospora,13702,Coleophoma cylindrospora,Fungi,Ascomycota,Leotiomycetes,Helotiales,Dermateaceae,Coleophoma,Yes
215,Colletotrichum chlorophyti,9908,Colletotrichum chlorophyti,Fungi,Ascomycota,Sordariomycetes,Glomerellales,Glomerellaceae,Colletotrichum,No
216,Colletotrichum fioriniae PJ7,13267,Colletotrichum fioriniae PJ7,Fungi,Ascomycota,Sordariomycetes,Glomerellales,Glomerellaceae,Colletotrichum,No
217,Colletotrichum fructicola (strain Nara gc5) (Anthracnose fungus) (Colletotrichum gloeosporioides (strain Nara gc5)),24283,Colletotrichum fructicola ,Fungi,Ascomycota,Sordariomycetes,Glomerellales,Glomerellaceae,Colletotrichum,No
218,Colletotrichum gloeosporioides (strain Cg-14) (Anthracnose fungus) (Glomerella cingulata),15677,Colletotrichum gloeosporioides ,Fungi,Ascomycota,Sordariomycetes,Glomerellales,Glomerellaceae,Colletotrichum,No
219,Colletotrichum graminicola (strain M1.001 / M2 / FGSC 10212) (Maize anthracnose fungus) (Glomerella graminicola),11652,Colletotrichum graminicola ,Fungi,Ascomycota,Sordariomycetes,Glomerellales,Glomerellaceae,Colletotrichum,No
220,Colletotrichum higginsianum,12553,Colletotrichum higginsianum,Fungi,Ascomycota,Sordariomycetes,Glomerellales,Glomerellaceae,Colletotrichum,No
221,Colletotrichum higginsianum (strain IMI 349063) (Crucifer anthracnose fungus),17640,Colletotrichum higginsianum ,Fungi,Ascomycota,Sordariomycetes,Glomerellales,Glomerellaceae,Colletotrichum,No
222,Colletotrichum incanum,19573,Colletotrichum incanum,Fungi,Ascomycota,Sordariomycetes,Glomerellales,Glomerellaceae,Colletotrichum,No
223,Colletotrichum nymphaeae SA-01,13932,Colletotrichum nymphaeae SA-01,Fungi,Ascomycota,Sordariomycetes,Glomerellales,Glomerellaceae,Colletotrichum,No
224,Colletotrichum orbiculare (strain 104-T / ATCC 96160 / CBS 514.97 / LARS 414 / MAFF 240422) (Cucumber anthracnose fungus) (Colletotrichum lagenarium),12812,Colletotrichum orbiculare ,Fungi,Ascomycota,Sordariomycetes,Glomerellales,Glomerellaceae,Colletotrichum,No
225,Colletotrichum orchidophilum,14101,Colletotrichum orchidophilum,Fungi,Ascomycota,Sordariomycetes,Glomerellales,Glomerellaceae,Colletotrichum,No
226,Colletotrichum salicis,13349,Colletotrichum salicis,Fungi,Ascomycota,Sordariomycetes,Glomerellales,Glomerellaceae,Colletotrichum,No
227,Colletotrichum shisoi,11437,Colletotrichum shisoi,Fungi,Ascomycota,Sordariomycetes,Glomerellales,Glomerellaceae,Colletotrichum,No
228,Colletotrichum sidae,12101,Colletotrichum sidae,Fungi,Ascomycota,Sordariomycetes,Glomerellales,Glomerellaceae,Colletotrichum,No
229,Colletotrichum simmondsii,13379,Colletotrichum simmondsii,Fungi,Ascomycota,Sordariomycetes,Glomerellales,Glomerellaceae,Colletotrichum,No
230,Colletotrichum spinosum,12173,Colletotrichum spinosum,Fungi,Ascomycota,Sordariomycetes,Glomerellales,Glomerellaceae,Colletotrichum,No
231,Colletotrichum sublineola (Sorghum anthracnose fungus),12257,Colletotrichum sublineola ,Fungi,Ascomycota,Sordariomycetes,Glomerellales,Glomerellaceae,Colletotrichum,No
232,Colletotrichum tanaceti,11726,Colletotrichum tanaceti,Fungi,Ascomycota,Sordariomycetes,Glomerellales,Glomerellaceae,Colletotrichum,No
233,Colletotrichum tofieldiae,12087,Colletotrichum tofieldiae,Fungi,Ascomycota,Sordariomycetes,Glomerellales,Glomerellaceae,Colletotrichum,No
234,Colletotrichum trifolii,11900,Colletotrichum trifolii,Fungi,Ascomycota,Sordariomycetes,Glomerellales,Glomerellaceae,Colletotrichum,No
235,Collybiopsis luxurians FD-317 M1,14366,Collybiopsis luxurians FD-317 M1,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Omphalotaceae,Collybiopsis,No
236,Conidiobolus coronatus (strain ATCC 28846 / CBS 209.66 / NRRL 28638) (Delacroixia coronata),10426,Conidiobolus coronatus ,Fungi,Zoopagomycota,Entomophthoromycetes,Entomophthorales,Ancylistaceae,Conidiobolus,Yes
237,Coniella lustricola,10965,Coniella lustricola,Fungi,Ascomycota,Sordariomycetes,Diaporthales,Schizoparmaceae,Coniella,No
238,Coniochaeta ligniaria NRRL 30616,13285,Coniochaeta ligniaria NRRL 30616,Fungi,Ascomycota,Sordariomycetes,Coniochaetales,Coniochaetaceae,Coniochaeta,No
239,Coniochaeta pulveracea,9627,Coniochaeta pulveracea,Fungi,Ascomycota,Sordariomycetes,Coniochaetales,Coniochaetaceae,Coniochaeta,No
240,Coniochaeta sp. 2T2.1,23790,Coniochaeta sp. 2T2.1,Fungi,Ascomycota,Sordariomycetes,Coniochaetales,Coniochaetaceae,Coniochaeta,No
241,Coniophora puteana (strain RWD-64-598) (Brown rot fungus),13393,Coniophora puteana ,Fungi,Basidiomycota,Agaricomycetes,Boletales,Coniophoraceae,Coniophora,Yes
242,Coniosporium apollinis (strain CBS 100218) (Rock-inhabiting black yeast),9003,Coniosporium apollinis ,Fungi,Ascomycota,Dothideomycetes,NA,NA,Coniosporium,Yes
243,Coprinellus micaceus (Glistening ink-cap mushroom) (Coprinus micaceus),22203,Coprinellus micaceus ,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Psathyrellaceae,Coprinellus,Yes
244,Coprinopsis cinerea (strain Okayama-7 / 130 / ATCC MYA-4618 / FGSC 9003) (Inky cap fungus) (Hormographiella aspergillata),12927,Coprinopsis cinerea ,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Psathyrellaceae,Coprinopsis,No
245,Coprinopsis marcescibilis (Agaric fungus) (Psathyrella marcescibilis),14095,Coprinopsis marcescibilis ,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Psathyrellaceae,Coprinopsis,Yes
246,Cordyceps confragosa (Lecanicillium lecanii),7768,Cordyceps confragosa ,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Cordycipitaceae,Akanthomyces,No
247,Cordyceps fumosorosea (strain ARSEF 2679) (Isaria fumosorosea),9706,Cordyceps fumosorosea ,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Cordycipitaceae,Cordyceps,No
248,Cordyceps javanica,11078,Cordyceps javanica,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Cordycipitaceae,Cordyceps,No
249,Cordyceps militaris (Caterpillar fungus) (Clavaria militaris),9075,Cordyceps militaris ,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Cordycipitaceae,Cordyceps,No
250,Cordyceps militaris (strain CM01) (Caterpillar fungus),9275,Cordyceps militaris ,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Cordycipitaceae,Cordyceps,No
251,Cordyceps sp. RAO-2017,10955,Cordyceps sp. RAO-2017,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Cordycipitaceae,Cordyceps,No
252,Corynespora cassiicola Philippines,16733,Corynespora cassiicola Philippines,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Corynesporascaceae,Corynespora,Yes
253,Crucibulum laeve,13829,Crucibulum laeve,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Nidulariaceae,Crucibulum,Yes
254,Cryomyces minteri,12885,Cryomyces minteri,Fungi,Ascomycota,Dothideomycetes,NA,NA,Cryomyces,Yes
255,Cryptococcus amylolentus CBS 6039,9493,Cryptococcus amylolentus CBS 6039,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Cryptococcaceae,Cryptococcus,Yes
256,Cryptococcus amylolentus CBS 6273,7851,Cryptococcus amylolentus CBS 6273,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Cryptococcaceae,Cryptococcus,Yes
257,Cryptococcus depauperatus CBS 7841,6265,Cryptococcus depauperatus CBS 7841,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Cryptococcaceae,Cryptococcus,Yes
258,Cryptococcus depauperatus CBS 7855,6101,Cryptococcus depauperatus CBS 7855,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Cryptococcaceae,Cryptococcus,Yes
259,Cryptococcus floricola,7856,Cryptococcus floricola,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Cryptococcaceae,Cryptococcus,Yes
260,Cryptococcus gattii CA1280,6401,Cryptococcus gattii CA1280,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Cryptococcaceae,Cryptococcus,Yes
261,Cryptococcus gattii EJB2,6485,Cryptococcus gattii EJB2,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Cryptococcaceae,Cryptococcus,No
262,Cryptococcus gattii serotype B (strain WM276 / ATCC MYA-4071) (Filobasidiella gattii) (Cryptococcus bacillisporus),6276,Cryptococcus gattii serotype B ,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Cryptococcaceae,Cryptococcus,Yes
263,Cryptococcus gattii VGII Ram5,6215,Cryptococcus gattii VGII Ram5,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Cryptococcaceae,Cryptococcus,No
264,Cryptococcus gattii VGIV IND107,6428,Cryptococcus gattii VGIV IND107,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Cryptococcaceae,Cryptococcus,No
265,Cryptococcus neoformans var. grubii c45,6589,Cryptococcus neoformans var. grubii c45,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Cryptococcaceae,Cryptococcus,No
266,Cryptococcus neoformans var. grubii serotype A (strain H99 / ATCC 208821 / CBS 10515 / FGSC 9487) (Filobasidiella neoformans var. grubii),7103,Cryptococcus neoformans var. grubii serotype A ,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Cryptococcaceae,Cryptococcus,Yes
267,Cryptococcus neoformans var. grubii Tu259-1,6621,Cryptococcus neoformans var. grubii Tu259-1,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Cryptococcaceae,Cryptococcus,No
268,Cryptococcus neoformans var. neoformans serotype D (strain B-3501A) (Filobasidiella neoformans),6281,Cryptococcus neoformans var. neoformans serotype D ,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Cryptococcaceae,Cryptococcus,Yes
269,Cryptococcus neoformans var. neoformans serotype D (strain JEC21 / ATCC MYA-565) (Filobasidiella neoformans),6434,Cryptococcus neoformans var. neoformans serotype D ,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Cryptococcaceae,Cryptococcus,Yes
270,Cryptococcus wingfieldii CBS 7118,7763,Cryptococcus wingfieldii CBS 7118,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Cryptococcaceae,Cryptococcus,Yes
271,Cutaneotrichosporon oleaginosum,8063,Cutaneotrichosporon oleaginosum,Fungi,Basidiomycota,Tremellomycetes,Trichosporonales,Trichosporonaceae,Cutaneotrichosporon,Yes
272,Cyberlindnera fabianii (Yeast) (Hansenula fabianii),9295,Cyberlindnera fabianii ,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Phaffomycetaceae,Cyberlindnera,Yes
273,Cyberlindnera jadinii (strain ATCC 18201 / CBS 1600 / BCRC 20928 / JCM 3617 / NBRC 0987 / NRRL Y-1542) (Torula yeast) (Candida utilis),9414,Cyberlindnera jadinii ,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Phaffomycetaceae,Cyberlindnera,No
274,Cylindrobasidium torrendii FP15055 ss-10,13624,Cylindrobasidium torrendii FP15055 ss-10,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Physalacriaceae,Cylindrobasidium,Yes
275,Cyphellophora europaea CBS 101466,10780,Cyphellophora europaea CBS 101466,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Cyphellophoraceae,Cyphellophora,Yes
276,Cytospora leucostoma,9750,Cytospora leucostoma,Fungi,Ascomycota,Sordariomycetes,Diaporthales,Valsaceae,Cytospora,No
277,Dacryopinax primogenitus (strain DJM 731) (Brown rot fungus),10008,Dacryopinax primogenitus ,Fungi,Basidiomycota,Dacrymycetes,Dacrymycetales,Dacrymycetaceae,Dacryopinax,No
278,Dactylellina haptotyla (strain CBS 200.50) (Nematode-trapping fungus) (Monacrosporium haptotylum),10451,Dactylellina haptotyla ,Fungi,Ascomycota,Orbiliomycetes,Orbiliales,Orbiliaceae,Dactylellina,Yes
279,Daedalea quercina L-15889,11897,Daedalea quercina L-15889,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Fomitopsidaceae,Daedalea,No
280,Daldinia sp. EC12,10815,Daldinia sp. EC12,Fungi,Ascomycota,Sordariomycetes,Xylariales,Hypoxylaceae,Daldinia,No
281,Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii),6101,Debaryomyces hansenii ,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Debaryomyces,Yes
282,Decorospora gaudefroyi,11455,Decorospora gaudefroyi,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Decorospora,Yes
283,Dendrothele bispora (strain CBS 962.96),32551,Dendrothele bispora ,Fungi,Basidiomycota,Agaricomycetes,Agaricales,NA,Dendrothele,Yes
284,Dentipellis fragilis,9798,Dentipellis fragilis,Fungi,Basidiomycota,Agaricomycetes,Russulales,Hericiaceae,Dentipellis,Yes
285,Dentipellis sp. KUC8613,13995,Dentipellis sp. KUC8613,Fungi,Basidiomycota,Agaricomycetes,Russulales,Hericiaceae,Dentipellis,Yes
286,Diaporthe ampelina,10511,Diaporthe ampelina,Fungi,Ascomycota,Sordariomycetes,Diaporthales,Diaporthaceae,Diaporthe,No
287,Diaporthe helianthi,12729,Diaporthe helianthi,Fungi,Ascomycota,Sordariomycetes,Diaporthales,Diaporthaceae,Diaporthe,No
288,Dichomitus squalens,35398,Dichomitus squalens,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Polyporaceae,Dichomitus,No
289,Dichomitus squalens (strain LYAD-421) (Western red white-rot fungus),7039,Dichomitus squalens ,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Polyporaceae,Dichomitus,No
290,Didymella exigua CBS 183.55,12027,Didymella exigua CBS 183.55,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Didymellaceae,Didymella,No
291,Didymella rabiei (Chickpea ascochyta blight fungus) (Mycosphaerella rabiei),10151,Didymella rabiei ,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Didymellaceae,Ascochyta,No
292,Dimargaris cristalligena,7239,Dimargaris cristalligena,Fungi,Zoopagomycota,Dimargaritomycetes,Dimargaritales,Dimargaritaceae,Dimargaris,Yes
293,Diplodia corticola,10422,Diplodia corticola,Fungi,Ascomycota,Dothideomycetes,Botryosphaeriales,Botryosphaeriaceae,Diplodia,No
294,Diplodia seriata,16137,Diplodia seriata,Fungi,Ascomycota,Dothideomycetes,Botryosphaeriales,Botryosphaeriaceae,Diplodia,Yes
295,Dissoconium aciculare CBS 342.82,9967,Dissoconium aciculare CBS 342.82,Fungi,Ascomycota,Dothideomycetes,Mycosphaerellales,Dissoconiaceae,Dissoconium,Yes
296,Diversispora epigaea,26529,Diversispora epigaea,Fungi,Mucoromycota,Glomeromycetes,Diversisporales,Diversisporaceae,Diversispora,Yes
297,Dothidotthia symphoricarpi CBS 119687,11443,Dothidotthia symphoricarpi CBS 119687,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Dothidotthiaceae,Dothidotthia,No
298,Dothistroma septosporum (strain NZE10 / CBS 128990) (Red band needle blight fungus) (Mycosphaerella pini),12131,Dothistroma septosporum ,Fungi,Ascomycota,Dothideomycetes,Mycosphaerellales,Mycosphaerellaceae,Dothistroma,Yes
299,Drechmeria coniospora,7851,Drechmeria coniospora,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Ophiocordycipitaceae,Drechmeria,No
300,Elaphomyces granulatus,6821,Elaphomyces granulatus,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Elaphomycetaceae,Elaphomyces,Yes
301,Elsinoe ampelina,9919,Elsinoe ampelina,Fungi,Ascomycota,Dothideomycetes,Myriangiales,Elsinoaceae,Elsinoe,Yes
302,Elsinoe australis,17598,Elsinoe australis,Fungi,Ascomycota,Dothideomycetes,Myriangiales,Elsinoaceae,Elsinoe,Yes
303,Emergomyces africanus,8492,Emergomyces africanus,Fungi,Ascomycota,Eurotiomycetes,Onygenales,Ajellomycetaceae,Emergomyces,Yes
304,Emergomyces pasteurianus Ep9510,8636,Emergomyces pasteurianus Ep9510,Fungi,Ascomycota,Eurotiomycetes,Onygenales,Ajellomycetaceae,Emergomyces,Yes
305,Emericella nidulans (strain FGSC A4 / ATCC 38163 / CBS 112.46 / NRRL 194 / M139) (Aspergillus nidulans),18472,Emericella nidulans ,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Yes
306,Emmonsia crescens,8592,Emmonsia crescens,Fungi,Ascomycota,Eurotiomycetes,Onygenales,Ajellomycetaceae,Emmonsia,No
307,Emmonsia crescens UAMH 3008,9140,Emmonsia crescens UAMH 3008,Fungi,Ascomycota,Eurotiomycetes,Onygenales,Ajellomycetaceae,Emmonsia,Yes
